areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newDeaths28DaysByDeathDate
nation,England,E92000001,2021-02-04,2416,3426193,203
nation,England,E92000001,2021-02-03,14123,3423777,516
nation,England,E92000001,2021-02-02,16944,3409654,625
nation,England,E92000001,2021-02-01,19445,3392710,695
nation,England,E92000001,2021-01-31,13690,3373265,681
nation,England,E92000001,2021-01-30,14966,3359575,726
nation,England,E92000001,2021-01-29,19690,3344609,846
nation,England,E92000001,2021-01-28,21832,3324919,940
nation,England,E92000001,2021-01-27,23266,3303087,949
nation,England,E92000001,2021-01-26,24486,3279821,920
nation,England,E92000001,2021-01-25,27082,3255335,1048
nation,England,E92000001,2021-01-24,15497,3228253,1015
nation,England,E92000001,2021-01-23,19899,3212756,1035
nation,England,E92000001,2021-01-22,26961,3192857,1096
nation,England,E92000001,2021-01-21,28811,3165896,1135
nation,England,E92000001,2021-01-20,31795,3137085,1154
nation,England,E92000001,2021-01-19,35998,3105290,1222
nation,England,E92000001,2021-01-18,40773,3069292,1163
nation,England,E92000001,2021-01-17,26231,3028519,1154
nation,England,E92000001,2021-01-16,27676,3002288,1158
nation,England,E92000001,2021-01-15,36809,2974612,1088
nation,England,E92000001,2021-01-14,38560,2937803,1076
nation,England,E92000001,2021-01-13,41199,2899243,1095
nation,England,E92000001,2021-01-12,44734,2858044,1084
nation,England,E92000001,2021-01-11,52072,2813310,999
nation,England,E92000001,2021-01-10,32862,2761238,974
nation,England,E92000001,2021-01-09,35443,2728376,922
nation,England,E92000001,2021-01-08,42344,2692933,884
nation,England,E92000001,2021-01-07,46853,2650589,882
nation,England,E92000001,2021-01-06,51289,2603736,822
nation,England,E92000001,2021-01-05,58040,2552447,820
nation,England,E92000001,2021-01-04,69069,2494407,750
nation,England,E92000001,2021-01-03,49517,2425338,650
nation,England,E92000001,2021-01-02,54185,2375821,663
nation,England,E92000001,2021-01-01,28215,2321636,639
nation,England,E92000001,2020-12-31,46682,2293421,649
nation,England,E92000001,2020-12-30,62918,2246739,621
nation,England,E92000001,2020-12-29,72527,2183821,580
nation,England,E92000001,2020-12-28,40027,2111294,587
nation,England,E92000001,2020-12-27,42460,2071267,568
nation,England,E92000001,2020-12-26,36694,2028807,567
nation,England,E92000001,2020-12-25,12673,1992113,534
nation,England,E92000001,2020-12-24,28723,1979440,487
nation,England,E92000001,2020-12-23,37711,1950717,482
nation,England,E92000001,2020-12-22,40914,1913006,492
nation,England,E92000001,2020-12-21,42601,1872092,495
nation,England,E92000001,2020-12-20,28950,1829491,427
nation,England,E92000001,2020-12-19,21742,1800541,408
nation,England,E92000001,2020-12-18,31843,1778799,434
